time timestep g1 g3 g1_regular g1_sticker
1.24 124 0.237927 0.0136223 0.240187 0.20414
1.26 126 0.240697 0.0138145 0.24298 0.206461
1.28 128 0.243468 0.0140015 0.245761 0.208854
1.31 131 0.247654 0.0142852 0.249966 0.212427
1.33 133 0.250396 0.0144754 0.252729 0.214649
1.35 135 0.253129 0.0146649 0.255488 0.216828
1.38 138 0.257248 0.0149526 0.259643 0.220082
1.41 141 0.261372 0.015246 0.263802 0.223284
1.43 143 0.264051 0.0154438 0.266503 0.225333
1.46 146 0.268078 0.0157443 0.270556 0.228514
1.48 148 0.270791 0.015944 0.273277 0.230778
1.51 151 0.274899 0.0162506 0.277411 0.234067
1.54 154 0.278861 0.0165706 0.281405 0.237166
1.57 157 0.282764 0.0168947 0.285306 0.240497
1.6 160 0.286723 0.0172138 0.289265 0.243907
1.63 163 0.290613 0.0175309 0.293179 0.247093
1.66 166 0.294392 0.0178386 0.296988 0.249983
1.69 169 0.298109 0.0181456 0.300728 0.252792
1.72 172 0.301786 0.0184426 0.304437 0.255565
1.75 175 0.305382 0.0187263 0.308076 0.258276
1.78 178 0.309053 0.0190004 0.311793 0.261112
1.82 182 0.313999 0.0193649 0.316802 0.264944
1.85 185 0.317572 0.019635 0.320424 0.267653
1.89 189 0.322277 0.019996 0.325209 0.271286
1.92 192 0.325816 0.0202668 0.328817 0.274052
1.96 196 0.330416 0.0206111 0.333515 0.277554
1.99 199 0.333898 0.020861 0.337075 0.280279
2.03 203 0.338483 0.021176 0.341733 0.283992
2.07 207 0.342886 0.0214818 0.346174 0.28765
2.11 211 0.34739 0.0217979 0.350777 0.29111
2.14 214 0.350733 0.0220311 0.354205 0.293451
2.18 218 0.355138 0.022342 0.358667 0.296678
2.22 222 0.359543 0.0226482 0.363111 0.300022
2.27 227 0.3649 0.0230352 0.368479 0.304195
2.31 231 0.369261 0.0233613 0.372824 0.30777
2.35 235 0.373501 0.0236818 0.377094 0.31098
2.39 239 0.377729 0.0239889 0.381364 0.314331
2.44 244 0.38283 0.0243484 0.38658 0.318037
2.48 248 0.386903 0.0246348 0.390744 0.32083
2.53 253 0.39212 0.0250193 0.396016 0.324563
2.58 258 0.397035 0.0254132 0.400967 0.328135
2.63 263 0.402181 0.0258155 0.406148 0.332063
2.67 267 0.406245 0.0261302 0.410247 0.335173
2.72 272 0.411475 0.0265337 0.415568 0.338833
2.77 277 0.416459 0.0269275 0.420553 0.343039
2.83 283 0.422596 0.027392 0.42668 0.34838
2.88 288 0.427399 0.0277869 0.431508 0.352347
2.93 293 0.432318 0.0281852 0.436439 0.35641
2.99 299 0.438167 0.0286635 0.442321 0.361376
3.04 304 0.443008 0.0290406 0.447232 0.365089
3.1 310 0.448648 0.029462 0.452913 0.369449
3.16 316 0.454066 0.0298718 0.458358 0.373833
3.22 322 0.459645 0.0303208 0.46404 0.377996
3.27 327 0.464189 0.0307169 0.468641 0.381247
3.34 334 0.470786 0.0312392 0.475327 0.385874
3.4 340 0.476315 0.0316541 0.480889 0.389884
3.46 346 0.481703 0.0320689 0.486313 0.393683
3.53 353 0.487988 0.03257 0.492626 0.398407
3.59 359 0.493292 0.0330396 0.497981 0.402498
3.66 366 0.499178 0.0335783 0.504019 0.406183
3.73 373 0.505242 0.0341171 0.510263 0.409693
3.79 379 0.510337 0.0345834 0.515402 0.413187
3.86 386 0.516357 0.0351275 0.521457 0.41707
3.94 394 0.523586 0.0357769 0.528749 0.422272
4.01 401 0.529787 0.036368 0.534997 0.427286
4.08 408 0.535631 0.0369299 0.540905 0.431262
4.16 416 0.542486 0.0375361 0.547751 0.436787
4.24 424 0.549125 0.0381184 0.554412 0.441388
4.32 432 0.555954 0.0387259 0.561281 0.44586
4.4 440 0.562617 0.0393473 0.56795 0.450246
4.48 448 0.569018 0.0399971 0.5744 0.454057
4.56 456 0.575451 0.0406122 0.5809 0.457662
4.65 465 0.582662 0.0412031 0.588184 0.462665
4.73 473 0.589055 0.0417209 0.59466 0.467571
4.82 482 0.596095 0.0423166 0.601732 0.472766
4.91 491 0.60329 0.0429361 0.608978 0.477971
5 500 0.610272 0.0434956 0.615968 0.4826
5.09 509 0.61729 0.0440868 0.622986 0.487444
5.19 519 0.624745 0.0447348 0.630541 0.492247
5.29 529 0.631813 0.0453941 0.637654 0.497203
5.38 538 0.63816 0.04596 0.644112 0.501089
5.48 548 0.645502 0.0466147 0.651677 0.505353
5.59 559 0.65361 0.0473429 0.660027 0.510515
5.69 569 0.660941 0.0480786 0.667299 0.516779
5.8 580 0.668859 0.0488008 0.675254 0.522597
5.9 590 0.675928 0.0494408 0.682367 0.52741
6.01 601 0.683751 0.0501376 0.6902 0.532838
6.13 613 0.692071 0.0509171 0.698537 0.538466
6.24 624 0.699354 0.0516279 0.705839 0.544185
6.36 636 0.707527 0.0525528 0.71397 0.550708
6.47 647 0.71491 0.0533671 0.721294 0.556587
6.59 659 0.722999 0.0543193 0.729457 0.562393
6.72 672 0.731736 0.0552955 0.738286 0.568227
6.84 684 0.73944 0.0560484 0.745988 0.574346
6.97 697 0.748231 0.0568782 0.754686 0.580772
7.1 710 0.757078 0.0577155 0.763516 0.586062
7.23 723 0.765477 0.0586871 0.771816 0.591933
7.36 736 0.773314 0.0595331 0.779632 0.597502
7.5 750 0.782169 0.0606463 0.788672 0.603383
7.64 764 0.790876 0.0615464 0.797645 0.608175
7.78 778 0.799167 0.0624407 0.80619 0.613532
7.93 793 0.807963 0.0633844 0.815265 0.619592
8.08 808 0.816452 0.0641526 0.823944 0.624278
8.23 823 0.825708 0.0651564 0.833147 0.630022
8.38 838 0.834689 0.0661295 0.842093 0.635338
8.53 853 0.843866 0.0669879 0.851168 0.641874
8.69 869 0.853281 0.0679105 0.860619 0.648011
8.86 886 0.862967 0.0690771 0.870436 0.654322
9.02 902 0.872571 0.0700716 0.880081 0.661359
9.19 919 0.882325 0.0711992 0.889991 0.667319
9.36 936 0.891727 0.0722808 0.899493 0.673302
9.53 953 0.901404 0.0732228 0.909326 0.679261
9.71 971 0.910925 0.0743506 0.918939 0.685713
9.89 989 0.920103 0.075479 0.928101 0.691867
10.07 1007 0.929818 0.0766351 0.93783 0.697883
10.26 1026 0.941114 0.0778935 0.949076 0.70577
10.45 1045 0.951518 0.0793062 0.959484 0.713216
10.65 1065 0.962087 0.0806398 0.97004 0.719655
10.85 1085 0.972594 0.0819347 0.98063 0.726448
11.05 1105 0.982986 0.0830833 0.991223 0.732533
11.25 1125 0.992628 0.0841759 1.00075 0.739861
11.46 1146 1.00322 0.0852517 1.01099 0.748988
11.67 1167 1.01362 0.0864901 1.02137 0.756695
11.89 1189 1.02473 0.0881627 1.03239 0.764669
12.11 1211 1.0357 0.0896802 1.04333 0.771811
12.34 1234 1.04691 0.0909383 1.05444 0.779616
12.57 1257 1.05823 0.0924505 1.06559 0.787074
12.8 1280 1.06903 0.093627 1.07653 0.794431
13.04 1304 1.08033 0.0950826 1.08779 0.801775
13.28 1328 1.09107 0.0966741 1.09841 0.810163
13.53 1353 1.10153 0.0981377 1.10894 0.815451
13.78 1378 1.11213 0.0996415 1.11957 0.822378
14.04 1404 1.12381 0.100681 1.1309 0.829819
14.3 1430 1.13475 0.101922 1.14182 0.838206
14.57 1457 1.14616 0.103318 1.15329 0.844927
14.84 1484 1.15826 0.105038 1.16539 0.852445
15.11 1511 1.16967 0.106916 1.17692 0.858963
15.39 1539 1.18154 0.108601 1.18872 0.866994
15.68 1568 1.19453 0.110319 1.20152 0.875326
15.97 1597 1.20678 0.112039 1.2137 0.884478
16.27 1627 1.21935 0.11347 1.22635 0.892049
16.57 1657 1.23155 0.115239 1.23821 0.901383
16.88 1688 1.24473 0.117164 1.25144 0.911409
17.19 1719 1.25819 0.119109 1.26488 0.919879
17.51 1751 1.27137 0.12103 1.27813 0.928925
